ageGroup,gender,ageMin,ageMax,bodyWeightMin,bodyWeightMax,lift,record,name,date,place
W40,F,40,44,64,71,Snatch,71,Rebecca Merino,2024-03-23,The Nike 2024 USA Weightlifting Masters National Championships Powered by Rogue Fitness
W40,F,40,44,64,71,Clean & Jerk,91,Rebecca Merino,2023-10-07,Caffeine and Kilos
W40,F,40,44,64,71,Total,159,Rebecca Merino,2023-10-07,Caffeine and Kilos
W40,F,40,44,71,76,Snatch,64,Brigitte Bieyro,2024-08-29,"The 2024 Nike North American Open Series 2, powered by Rogue"
W40,F,40,44,71,76,Clean & Jerk,89,Lorlyn Cabrera,2018-09-16,Nike 2018 American Open Series 3
W40,F,40,44,71,76,Total,152,Lorlyn Cabrera,2018-09-16,Nike 2018 American Open Series 3
W40,F,40,44,76,81,Snatch,77,Kara Doherty,2023-09-17,"The 2023 Nike North American Open Series 2, powered by Rogue"
W40,F,40,44,76,81,Clean & Jerk,96,Ruth Pardue,2018-05-19,2018 CTS Wine Country Classic
W40,F,40,44,76,81,Total,165,Kara Doherty,2023-09-17,"The 2023 Nike North American Open Series 2, powered by Rogue"
W40,F,40,44,81,87,Snatch,76,Kara Doherty,2024-03-23,The Nike 2024 USA Weightlifting Masters National Championships Powered by Rogue Fitness
W40,F,40,44,81,87,Clean & Jerk,95,Lorlyn Cabrera,2018-05-06,Standard Strength Presents: Money in the Bank 1
W40,F,40,44,81,87,Total,169,Lorlyn Cabrera,2018-05-06,Standard Strength Presents: Money in the Bank 1
W40,F,40,44,87,>87,Snatch,75,Erin Becker,2025-01-12,Bar Wars 2025
W40,F,40,44,87,>87,Clean & Jerk,98,Lindsay Hall,2019-10-19,Occapendence Day
W40,F,40,44,87,>87,Total,166,Erin Becker,2025-01-12,Bar Wars 2025
M40,M,40,44,0,55,Snatch,80,Ajay Goel,2021-12-03,"The Nike 2021 North American Open Finals, powered by Rogue"
M40,M,40,44,0,55,Clean & Jerk,102,Ajay Goel,2021-04-01,AO Series Online Qualifier - April
M40,M,40,44,0,55,Total,182,Ajay Goel,2021-04-01,AO Series Online Qualifier - April
M40,M,40,44,55,61,Snatch,85,Daniel Louie,2024-03-22,The Nike 2024 USA Weightlifting Masters National Championships Powered by Rogue Fitness
M40,M,40,44,55,61,Clean & Jerk,105,Daniel Louie,2024-03-22,The Nike 2024 USA Weightlifting Masters National Championships Powered by Rogue Fitness
M40,M,40,44,55,61,Total,190,Daniel Louie,2024-03-22,The Nike 2024 USA Weightlifting Masters National Championships Powered by Rogue Fitness
M40,M,40,44,61,67,Snatch,99,Adam Tabalno,2020-10-09,2020 Masters National Championships
M40,M,40,44,61,67,Clean & Jerk,120,Adam Tabalno,2019-02-17,2019 Oahu Open Weightlifting Championships
M40,M,40,44,61,67,Total,216,Adam Tabalno,2020-10-09,2020 Masters National Championships
M40,M,40,44,67,73,Snatch,110,Andre Pulizzi,2019-04-20,Silicon Valley: SPRING OPEN
M40,M,40,44,67,73,Clean & Jerk,140,Andre Pulizzi,2019-04-20,Silicon Valley: SPRING OPEN
M40,M,40,44,67,73,Total,250,Andre Pulizzi,2019-04-20,Silicon Valley: SPRING OPEN
M40,M,40,44,73,81,Snatch,106,Jason Thai,2021-11-06,2021 Howard Cohen American Masters
M40,M,40,44,73,81,Clean & Jerk,128,Victor Igtiben,2024-03-23,The Nike 2024 USA Weightlifting Masters National Championships Powered by Rogue Fitness
M40,M,40,44,73,81,Total,231,Victor Igtiben,2024-03-23,The Nike 2024 USA Weightlifting Masters National Championships Powered by Rogue Fitness
M40,M,40,44,81,89,Snatch,110,Christopher Robertson,2020-02-22,NorCal Weightlifting Meet
M40,M,40,44,81,89,Clean & Jerk,142,Larry Hutchinson,2019-06-23,PWA Champs
M40,M,40,44,81,89,Total,249,Larry Hutchinson,2019-06-23,PWA Champs
M40,M,40,44,89,96,Snatch,112,Larry Hutchinson,2019-03-24,Spring Breaker
M40,M,40,44,89,96,Clean & Jerk,145,Larry Hutchinson,2018-09-02,Pacific Weightlifting Association Championships
M40,M,40,44,89,96,Total,254,Larry Hutchinson,2019-03-24,Spring Breaker
M40,M,40,44,96,102,Snatch,125,Chris Weingartner,2021-12-11,Hassle Free Winter Breaker
M40,M,40,44,96,102,Clean & Jerk,152,Chris Weingartner,2021-12-11,Hassle Free Winter Breaker
M40,M,40,44,96,102,Total,277,Chris Weingartner,2021-12-11,Hassle Free Winter Breaker
M40,M,40,44,102,109,Snatch,137,Jason Kristal,2019-06-02,Pan American Masters Championships
M40,M,40,44,102,109,Clean & Jerk,160,Jason Kristal,2019-05-05,Folsom Open
M40,M,40,44,102,109,Total,291,Jason Kristal,2019-05-05,Folsom Open
M40,M,40,44,109,>109,Snatch,137,Jason Kristal,2019-04-27,Occam Back Alley Rumble V
M40,M,40,44,109,>109,Clean & Jerk,154,Brian Nicklas,2019-11-16,Visalia Fall Lift-Off
M40,M,40,44,109,>109,Total,288,Jason Kristal,2019-04-27,Occam Back Alley Rumble V
W45,F,45,49,0,45,Snatch,,,,
W45,F,45,49,0,45,Clean & Jerk,,,,
W45,F,45,49,0,45,Total,,,,
W45,F,45,49,0,49,Snatch,47,Minet Sepulveda,2021-11-06,2021 Howard Cohen American Masters
W45,F,45,49,0,49,Clean & Jerk,60,Minet Sepulveda,2021-11-06,2021 Howard Cohen American Masters
